From,To,Label,Desc
carbol_fuchsin_stain,mycolic_acid,involves,
nocardia_asteroides,catalase,positive,
nocardia_asteroides,cgd,complication,patients with cgd have weakened immune response
nocardia_asteroides,urease,enzyme,
nocardia_asteroides,airway,symptom,lung cavitary lesions
nocardia_asteroides,cns,symptom,brain abscesses
nocardia_asteroides,cutaneous,symptom,"induration, lesions"
nocardia_asteroides,pneumonia,symptom,
nocardia_asteroides,protease,enzyme,virulence factor
nocardia_asteroides,hiv,complication,risk factor
nocardia_asteroides,immunocompromised,complication,risk factor
immunocompromised,hiv,cause,hiv causes immunocompromisation by attacking cd4 cells
nocardia_asteroides,induration,symptom,
nocardia_asteroides,lesion,symptom,
neisseria_meningitidis,fermentation,energy,ferments maltose in addition to glucose
neisseria_meningitidis,oxidase,positive,
neisseria_meningitidis,chocolate_agar,medium,also known as VPN (thayer-martin agar)
neisseria_meningitidis,catalase,positive,
neisseria_meningitidis,complement,defense,"membrane attack complex C5-C9 is the main defense against N. meningitidis, vaccine indicated in hypocomplementemia"
neisseria_meningitidis,pili,attaches,promotes colonization
neisseria_meningitidis,capsule,polysaccharide,"non-immunogenic in type B, similar to neurological tissue"
neisseria_meningitidis,immunoglobulin,affects,"igA protease, helps with mucosal colonization"
neisseria_meningitidis,lipopolysaccharide,toxin,"Lipooligosaccharide endotoxin, primary virulence factor that causes sepsis and DIC, forms blebs"
neisseria_meningitidis,nasopharynx,colonizes,"igA protease, helps with mucosal colonization"
neisseria_meningitidis,asymptomatic,state,carrier
neisseria_meningitidis,droplet,spread,
neisseria_meningitidis,contact,spread,confined spaces like barracks
neisseria_meningitidis,vascular_injury,symptom,caused by LOS
neisseria_meningitidis,dic,symptom,caused by LOS
neisseria_meningitidis,septic_shock,symptom,hypo-volumic shock
dic,thrombocytopenia,symptom,part of DIC
dic,thrombosis,symptom,part of DIC
neisseria_meningitidis,waterhouse-friderichsen_syndrome,symptom,can be additional complication and severe
waterhouse-friderichsen_syndrome,hypoglycemia,involves,due to adrenal insufficiency
waterhouse-friderichsen_syndrome,hyponatremia,involves,due to adrenal insufficiency
waterhouse-friderichsen_syndrome,hyperkalemia,involves,due to adrenal insufficiency
neisseria_meningitidis,meningitis,symptom,2nd most common cause of bacterial meningitis
neisseria_meningitidis,pericarditis,symptom,immune complex mediated
neisseria_meningitidis,arthritis,symptom,immune complex mediated
neisseria_meningitidis,fever,symptom,
neisseria_meningitidis,myalgia,symptom,
neisseria_meningitidis,pharyngitis,symptom,
neisseria_meningitidis,flu-like,symptom,
neisseria_meningitidis,pharyngitis,symptom,like strep
neisseria_meningitidis,petechial_rash,symptom,
neisseria_meningitidis,spinal_tap,testing,way to test for N. M. infection
neisseria_meningitidis,prophylaxis,prevents,rifampin and ciprofloxacin post exposure
neisseria_meningitidis,vaccine,"quad, conjugate, serotype","different types of vaccines including all inclusive capsular polysaccharide quad vaccine, conjugate vaccine with capsule antigen and dip toxoid, and a recombinant serotype B vaccine"
neisseria_meningitidis,spleen,complication,"lack of defense against encapsulated organisms, vaccine indicated in asplenic patients"
neisseria_gonorrhoeae,intracellular,facultative,within PMNs/neutrophils
neisseria_gonorrhoeae,sti,symptom,
neisseria_gonorrhoeae,asymptomatic,state,carrier
neisseria_gonorrhoeae,neonate,affects,passed from mother to child in vaginal canal
neisseria_gonorrhoeae,eye_infection,symptom,"ophthalmia neonatorum, serious eye infection in the first 5 days (earlier compared to chlamydia)"
neisseria_gonorrhoeae,fermentation,energy,glucose only
neisseria_gonorrhoeae,oxidase,positive,
neisseria_gonorrhoeae,catalase,positive,
neisseria_gonorrhoeae,chocolate_agar,medium,grows on chocolate agar / thayer-martin agar
neisseria_gonorrhoeae,pili,possesses,antigenic variation makes it hard to vaccinate against
neisseria_gonorrhoeae,protease,enzyme,
neisseria_gonorrhoeae,beta_lactamase,enzyme,
neisseria_gonorrhoeae,lipopolysaccharide,toxin,endotoxin
neisseria_gonorrhoeae,physiology,iron_metabolism,acquires iron from environment
neisseria_gonorrhoeae,neutrophil,infects,"intracellular in pmns, pili prevent killing"
neisseria_gonorrhoeae,urethritis,symptom,"males, opacity proteins, painful urination and milky discharge"
neisseria_gonorrhoeae,prostatitis,symptom,males
neisseria_gonorrhoeae,orchitis,symptom,"males, testicular pain"
neisseria_gonorrhoeae,cervicitis,symptom,"females, mucopurulent (discharge and swelling)"
neisseria_gonorrhoeae,pid,symptom,"females, ab pain, dispareunia"
neisseria_gonorrhoeae,salpingitis,symptom,"females, can result in ectopic pregnancy and infertility"
neisseria_gonorrhoeae,fitz-hugh-curtis_syndrome,symptom,"inflammation of liver and peritonium, violin string adhesions"
neisseria_gonorrhoeae,bacteremia,symptom,disseminated gonococcal infection - later stage
neisseria_gonorrhoeae,tenosynovitis,symptom,later stage
neisseria_gonorrhoeae,arthritis,symptom,"purulent, may be present in synovial fluid"
neisseria_gonorrhoeae,dermatitis,symptom,later stage
neisseria_gonorrhoeae,pcr,testing,can be tested with pcr methods (NAAT)
neisseria_gonorrhoeae,chlamydia_trachomatis,coinfection,can be covered with doxycycline or macrolides
neisseria_gonorrhoeae,prophylaxis,condoms,
fitz-hugh-curtis_syndrome,liver,involves,"inflammation, violin string adhesions"
moraxella_catarrhalis,catalase,positive,
moraxella_catarrhalis,nasopharynx,colonizes,
moraxella_catarrhalis,oxidase,positive,
moraxella_catarrhalis,oxygen_metabolism,obligate aerobe,
moraxella_catarrhalis,biofilm,builds,
moraxella_catarrhalis,beta_lactamase,enzyme,prevents beta lactams
moraxella_catarrhalis,otitis_media,symptom,
moraxella_catarrhalis,sinusitis,symptom,
moraxella_catarrhalis,copd,exacerbation,
klebsiella_pneumoniae,pneumonia,symptom,
klebsiella_pneumoniae,nosocomial,environment,
klebsiella_pneumoniae,uti,symptom,
klebsiella_pneumoniae,resistance,possesses,multi-drug resistant
fermentation,macconkey_agar,testing,pink colonies if it ferments lactose
klebsiella_pneumoniae,fermentation,lactose,pink colonies on MacConkey agar
klebsiella_pneumoniae,abscess,symptom,
klebsiella_pneumoniae,capsule,polysaccharide,
klebsiella_pneumoniae,airway,symptom,currant JELLY sputum
klebsiella_pneumoniae,urease,positive,
enterobacter_cloacae,pneumonia,symptom,
enterobacter_cloacae,uti,symptom,
enterobacter_cloacae,resistance,possesses,
enterobacter_cloacae,fermentation,lactose,
enterobacter_cloacae,macconkey_agar,testing,pink colonies
enterobacter_cloacae,flagellum,motility,
enterobacter_cloacae,nosocomial,environment,
serratia_marcescens,pneumonia,symptom,
serratia_marcescens,uti,symptom,
serratia_marcescens,resistance,possesses,
serratia_marcescens,fermentation,lactose,
serratia_marcescens,macconkey_agar,testing,"pink colonies, forms pink pigment in shower"
serratia_marcescens,flagellum,motility,
serratia_marcescens,nosocomial,environment,
klebsiella_pneumoniae,enterobacter_cloacae,related,
enterobacter_cloacae,serratia_marcescens,related,
serratia_marcescens,klebsiella_pneumoniae,related,
non_typhoid_salmonella,flagellum,motility,
non_typhoid_salmonella,capsule,polysaccharide,
non_typhoid_salmonella,intracellular,facultative,within macrophages
non_typhoid_salmonella,macrophage,infects,infects and travels with macrophages
non_typhoid_salmonella,m_cell,infects,cross gastrointestinal mcells to disseminate
non_typhoid_salmonella,acid_solubility,labile,
non_typhoid_salmonella,hektoen_agar,testing,black colonies
non_typhoid_salmonella,type_three_secretion,secretion,injects effector proteins directly into host cells and allows endocytosis
non_typhoid_salmonella,phagolysosome,disables,effector proteins inhibit phagosome-lysosome fusion
non_typhoid_salmonella,water,spread,
non_typhoid_salmonella,food_poisoning,cause,poulty is #1 reservoir
non_typhoid_salmonella,animal_contact,spread,
non_typhoid_salmonella,bacteremia,exacerbation,
non_typhoid_salmonella,gastroentiritis,symptom,
non_typhoid_salmonella,septic_shock,symptom,
non_typhoid_salmonella,vascular_injury,symptom,
non_typhoid_salmonella,meningitis,symptom,
non_typhoid_salmonella,osteomyelitis,symptom,
non_typhoid_salmonella,antibiotic,treatment,usually self limiting but antibiotics may be indicated in severe cases
typhoidal_salmonella,flagellum,motility,
typhoidal_salmonella,capsule,polysaccharide,"VI antgien resists neutrophilic response, inhibits chemotaxis, interferes with complement and oxidative burst"
typhoidal_salmonella,intracellular,facultative,macrophages
typhoidal_salmonella,m_cell,infects,
typhoidal_salmonella,acid_solubility,labile,
typhoidal_salmonella,hektoen_agar,testing,black colonies
typhoidal_salmonella,type_three_secretion,secretion,injects effector proteins directly into host cells and allows endocytosis
typhoidal_salmonella,fever,symptom,"typhoid fever is enteric, meaning is progressively gets higher and infects bone marrow"
typhoidal_salmonella,fecal_oral,spread,humans are only reservoir host of typhoidal
typhoidal_salmonella,asymptomatic,state,colonizes gallbladder in carrier state
typhoidal_salmonella,monocyte,defense,monocytic immune response
typhoidal_salmonella,bradycardia,symptom,
typhoidal_salmonella,macule,symptom,may present with rose-colored macules (kind of like petechial rash)
typhoidal_salmonella,anemia,symptom,
typhoidal_salmonella,hepatosplenomegaly,symptom,
typhoidal_salmonella,intestinal_bleeding,affects,intestinal bleeding and perforation
typhoidal_salmonella,leukopenia,symptom,
typhoidal_salmonella,vaccine,injectable/conjugate vaccine,vi capsular polysaccharide conjugated with tetanus toxoid protein
typhoidal_salmonella,biofilm,builds,
sec_pathway,type_two_secretion,dependent,
sec_pathway,type_five_secretion,dependent,
sec_pathway,type_three_secretion,independent,
sec_pathway,type_four_secretion,independent,
sec_pathway,type_one_secretion,independent,
shigella,acid_solubility,stable,stability leads to low load to casuse infection
shigella,m_cell,infects,escapes through phagolysosome
shigella,actin_rocket,motility,
shigella,intracellular,facultative,
shigella,bloody_stool,symptom,
shigella,leukocyte,defense,leukocytes observed
shigella,diarrhea,symptom,inflammatory
shigella,type_three_secretion,secretion,inflammatory cytokines
shigella,exotoxin,shiga toxin,"glomerulaar damage, inhibits 60s subunit of ribosomes"
shigella,thrombocytopenia,symptom,drop in platelets
shigella,schistocyte,symptom,lysed red blood cells
shigella,hus,symptom,
shigella,lipopolysaccharide,toxin,
escherichia_coli,fermentation,lactose,
escherichia_coli,macconkey_agar,testing,pink colonies
escherichia_coli,eosin_methylene_blue_agar,testing,green sheen
escherichia_coli,capsule,polysaccharide,
escherichia_coli,catalase,positive,
escherichia_coli,pili,possesses,#1 cause of UTI
escherichia_coli,sepsis,symptom,#1 cause of gram negative sepsis
escherichia_coli,lipopolysaccharide,toxin,
escherichia_coli,meningitis,neonatal,K antigen
escherichia_coli,enterohemorrhagic_ecoli,type,0157H7 antigen is the main serotype for outbreaks
escherichia_coli,enterotoxigenic_ecoli,type,
escherichia_coli,enteropathogenic_ecoli,type,
escherichia_coli,enteroinvasive_ecoli,type,
escherichia_coli,neonate,meningitis,K antigen
enterohemorrhagic_ecoli,food_poisoning,cause,undercooked meat
enterohemorrhagic_ecoli,bloody_stool,symptom,
enterohemorrhagic_ecoli,fermentation,not sorbitol,
enterohemorrhagic_ecoli,exotoxin,shiga-like toxin,inhibits 60s unit of ribosomes
enterohemorrhagic_ecoli,hus,symptom,
hus,glomerulus,damage,
hus,thrombocytopenia,involves,
hus,schistocyte,involves,
enterotoxigenic_ecoli,diarrhea,symptom,watery
enterotoxigenic_ecoli,water,spread,common in Mexico
enterotoxigenic_ecoli,heat_solubility,both,"heat labile toxin increases cAMP - similar to cholera toxin, heat stable toxin increases cGMP - similar to yersenia entercolitis"
enterotoxigenic_ecoli,exotoxin,2 types,"heat labile toxin increases cAMP - similar to cholera toxin, heat stable toxin increases cGMP - similar to yersenia entercolitis"
enterotoxigenic_ecoli,vibrio_cholera,similar,heat labile is similar to cholera toxin
yersinia_enterocolitica,animal_contact,spread,"puppy feces, toddlers commonly infected"
yersinia_enterocolitica,food_poisoning,cause,contaminated milk
yersinia_enterocolitica,psychrophilic,grows,cold resistant
yersinia_enterocolitica,capsule,polysaccharide,
yersinia_enterocolitica,appendicitis,mimics,
yersinia_enterocolitica,gut,affects,
yersinia_enterocolitica,leukocytosis,symptom,
yersinia_enterocolitica,fever,symptom,
yersinia_enterocolitica,abscess,symptom,
yersinia_enterocolitica,lymphadenopathy,symptom,mesenteric lymph node enlargement
yersinia_enterocolitica,enterotoxigenic_ecoli,similar,heat stable toxin similar
yersinia_pestis,animal_contact,spread,rats and prairie dogs
yersinia_pestis,flea,vector,
yersinia_pestis,lymphadenopathy,symptom,"bubos, responsible for bubonic plague"
yersinia_pestis,abscess,symptom,
yersinia_pestis,dic,symptom,endotoxin necrosis
yersinia_pestis,exotoxin,yersinia associated proteins,inhibits phagocytosis and cytokine production
yersinia_pestis,type_three_secretion,secretion,
yersinia_pestis,vaccine,killed,
campylobacter_jejuni,thermophilic,grows, at 42C
campylobacter_jejuni,animal_contact,spread,intestinal tracts of animals (especially poultry)
campylobacter_jejuni,fecal_oral,spread,
campylobacter_jejuni,bloody_stool,symptom,diarrhea
campylobacter_jejuni,oxidase,positive,
campylobacter_jejuni,bacteremia,exacerbation,
campylobacter_jejuni,arthritis,reactive,
campylobacter_jejuni,guillain_barre,symptom,ascending demyelination
guillain_barre,pns,demyelination,
vibrio_cholera,tcbs_agar,testing,
vibrio_cholera,oxidase,positive,
vibrio_cholera,diarrhea,symptom,rice water like
vibrio_cholera,alkaline_media,grows,
vibrio_cholera,acid_solubility,labile,
vibrio_cholera,pili,attaches,"to intestinal wall, toxin coregulated"
vibrio_cholera,exotoxin,cholera toxin,"activates Gs, elevates cAMP, increases Cl secretion into gut lumen and causes diarrhea, GM1 ganglioside is attachment of toxin"
vibrio_cholera,water,treatment/spread,"copious amounts of oral rehydration, also spread from contaminated water"
vibrio_vulnificus,tcbs_agar,testing,
vibrio_vulnificus,physiology,siderophores,iron uptake
vibrio_vulnificus,necrotizing_fasciitis,symptom,"severe wound infections from raw shellfish, flesh eating"
vibrio_vulnificus,lipopolysaccharide,toxin,endotoxin
vibrio_vulnificus,animal_contact,spread,shellfish
vibrio_parahemolyticus,tcbs_agar,testing,
vibrio_parahemolyticus,animal_contact,spread,raw oysters
vibrio_parahemolyticus,exotoxin,TDH,thermostable direct hemolysin
vibrio_parahemolyticus,enterotoxin,toxin,
vibrio_parahemolyticus,diarrhea,symptom,watery but less severe than cholera
vibrio_parahemolyticus,type_three_secretion,secretion,
vibrio_parahemolyticus,water,treatment,rehydration
helicobacter_pylori,flagellum,motility,
helicobacter_pylori,urease,positive,"urea to ammonia + CO2, reduces acidity of stomach/pylorus"
helicobacter_pylori,urea_breath_test,testing,higher concentration of co2 indicates h.p. infection
helicobacter_pylori,malt,infects,
helicobacter_pylori,neoplasia,exacerbation,gastric adenocarcinoma
helicobacter_pylori,ulcer,symptom,duodenal
helicobacter_pylori,oxidase,positive,
proteus_mirabilis,flagellum,motility,swarming motility
proteus_mirabilis,kidney,affects,"struvite stones can cause kidney stones, staghorn calculi"
proteus_mirabilis,urease,positive,alkaline environment forms calculi
proteus_mirabilis,uti,symptom,
proteus_mirabilis,oxygen_metabolism,facultative anaerobe,
bordetella_pertussis,airway,affects,ciliated epithelial cells
bordetella_pertussis,droplet,spread,
bordetella_pertussis,pili,possesses,filamentous hemagglutinin is the main adhesin
bordetella_pertussis,neutrophil,affects,disables activation
bordetella_pertussis,lymphocyte,affects,disables activation
bordetella_pertussis,exotoxin,"pertussis toxin, tracheal cytotoxin","pertussis toxin disrupts Gi protein by ribosylating ADP, causing increased cAMP, disables chemokine receptors on lymphocytes, inhibits neutrophil activation"
bordetella_pertussis,vaccine,"killed, accellular (DTaP)",purified antigens along with diphtheria and tetanus toxins
bordetella_pertussis,mesophilic,regulation,"at colder temperatures and nutrient environments, toxin synthesis is turned off"
bordetella_pertussis,corynebacterium_diphtheriae,vaccine,combined
bordetella_pertussis,clostridium_tetani,vaccine,combined
haemophilus_influenzae,chocolate_agar,grows,requires factor 5 and 10 (NAD + hemin)
haemophilus_influenzae,aerosol,spread,
haemophilus_influenzae,pneumonia,symptom,
haemophilus_influenzae,epiglotitis,symptom,"cherry red, emergency"
haemophilus_influenzae,capsule,polysaccharide,type B strain
haemophilus_influenzae,protease,enzyme,type B strain
haemophilus_influenzae,lipopolysaccharide,toxin,endotoxin
haemophilus_influenzae,otitis_media,symptom,
haemophilus_influenzae,meningitis,symptom,more common in children
haemophilus_influenzae,sepsis,symptom,
haemophilus_influenzae,spleen,complication,asplenic or sickle cell patients higher risk
haemophilus_influenzae,vaccine,capsule vaccine,"DIP - polysaccharide + diphtheria toxin, 2-18 months injection. DIP toxin increases t-dependent response which is stronger"
haemophilus_influenzae,prophylaxis,prevents,"rifampin, close contacts with children"
legionella_pneumophila,silver_stain,testing,along with buffered charcoal yeast extract with cysteine and rion
legionella_pneumophila,oxidase,positive,
legionella_pneumophila,pneumonia,symptom,"legionnaire's disease, atypical pneumonia, unilobal infiltrate on xray, smokers and old workspaces/conferences"
legionella_pneumophila,headache,symptom,
legionella_pneumophila,cns,confusion,
legionella_pneumophila,fever,symptom,"pontiac fever, high, self limited, malaise"
legionella_pneumophila,hyponatremia,symptom,
legionella_pneumophila,urine_antigen_test,testing,
pseudomonas_aeruginosa,water,spread,"thrives in aquatic environments, swimmer's ear"
pseudomonas_aeruginosa,oxidase,positive,
pseudomonas_aeruginosa,catalase,positive,
pseudomonas_aeruginosa,cgd,complication,
pseudomonas_aeruginosa,oxygen_metabolism,obligate aerobe,
pseudomonas_aeruginosa,cystic_fibrosis,complication,pulmonary infection
pseudomonas_aeruginosa,pneumonia,symptom,
pseudomonas_aeruginosa,nosocomial,environment,"catheter, utis"
pseudomonas_aeruginosa,osteomyelitis,symptom,"iv drug users and diabetics, fatal in burn patients"
pseudomonas_aeruginosa,capsule,polysaccharide,
pseudomonas_aeruginosa,sepsis,symptom,
pseudomonas_aeruginosa,folliculitis,symptom,hot tub 
pseudomonas_aeruginosa,exotoxin,exotoxin A,"along with elastase, and phospholipase C, causes tissue damage to create iron"
pseudomonas_aeruginosa,physiology,siderophores,iron uptake pyocyanine and pyoveridin
pseudomonas_aeruginosa,necrosis,ecthyma gangrenosum,black necrotic skin lesions
pseudomonas_aeruginosa,lesion,ecthyma gangrenosum,
pseudomonas_aeruginosa,corynebacterium_diphtheriae,similar,exotoxin A is similar to diphtheria and ribosylates EF2
burkholderia_pseudomallei,catalase,positive,
burkholderia_pseudomallei,oxygen_metabolism,obligate aerobe,
burkholderia_pseudomallei,oxidase,positive,
burkholderia_pseudomallei,water,spread,"wet season, tropical areas"
burkholderia_pseudomallei,soil,spread,
burkholderia_pseudomallei,pneumonia,symptom,similar to tb without cavitary lesions
burkholderia_cepacian_complex,catalase,positive,
burkholderia_cepacian_complex,oxidase,positive,
burkholderia_cepacian_complex,oxygen_metabolism,obligate aerobe,
burkholderia_cepacian_complex,soil,spread,
burkholderia_cepacian_complex,water,spread,
burkholderia_cepacian_complex,cystic_fibrosis,complication,
burkholderia_cepacian_complex,pneumonia,symptom,necrotizing
burkholderia_cepacian_complex,immunocompromised,complication,
burkholderia_cepacian_complex,bacteremia,exacerbation,
burkholderia_cepacian_complex,encephalomyelitis,symptom,
burkholderia_cepacian_complex,abscess,symptom,
burkholderia_cepacian_complex,resistance,possesses,multiple drugs
bartonella_quintana,louse,vector,
bartonella_quintana,immunocompromised,complication,
bartonella_quintana,fever,symptom,trench fever
bartonella_henselae,warthin_starry_stain,testing,
bartonella_henselae,silver_stain,testing,
bartonella_henselae,fever,symptom,cat scratch fever
bartonella_henselae,lymphadenopathy,symptom,
bartonella_henselae,immunocompetent,affects,cat scratch fever
bartonella_henselae,neoplasia,similar,vascular lesions also in kaposi's sarcoma
bartonella_henselae,immunocompromised,affects,bacillary angiomatosis
bartonella_henselae,lesion,symptom,"vascular, in bacillary angiomatosis"
bartonella_henselae,animal_contact,spread,cat scratches/bites
brucella_species,oxygen_metabolism,obligate aerobe,
brucella_species,animal_contact,spread,farm animals
brucella_species,food_poisoning,cause,unpasteurized milk products
brucella_species,intracellular,facultative,"macrophages, reticuloendothelial system"
brucella_species,macrophage,infects,
brucella_species,flu-like,symptom,"fever, chills, anorexia"
brucella_species,fever,symptom,undulating
brucella_species,liver,affects,enlargement
brucella_species,spleen,affects,enlargement
brucella_species,lymphadenopathy,symptom,
brucella_species,osteomyelitis,symptom,
francisella_tularensis,intracellular,facultative,affects phagocytes
francisella_tularensis,ulcer,symptom,tularemia
francisella_tularensis,necrosis,symptom,tularemia
francisella_tularensis,lesion,symptom,tularemia
francisella_tularensis,granuloma,symptom,tularemia
francisella_tularensis,animal_contact,spread,rabbits are primary reservoir
francisella_tularensis,tick,vector,dermacentor tick
francisella_tularensis,aerosol,spread,very contagious
francisella_tularensis,lymphadenopathy,symptom,regional
pasteurella_multocida,catalase,positive,
pasteurella_multocida,oxidase,positive,
pasteurella_multocida,capsule,polysaccharide,main virulence factor
pasteurella_multocida,sheep_blood,grows,"grows on 5% sheep's blood, bipolar safety pin staining"
pasteurella_multocida,animal_contact,spread,"respiratory tract of small animals, dog/cat bites"
pasteurella_multocida,cellulitis,symptom,
pasteurella_multocida,necrotizing_fasciitis,symptom,
pasteurella_multocida,lymphadenopathy,symptom,
pasteurella_multocida,liver,complication,liver disease higher at risk
pasteurella_multocida,copd,complication,copd individuals higher risk
anaplasma_phagocytophilum,intracellular,obligate,"vacuoles of leukocytes, morulae"
anaplasma_phagocytophilum,granulocyte,infects,
anaplasma_phagocytophilum,tick,vector,black legged ixodes tick
anaplasma_phagocytophilum,animal_contact,spread,"mouse is larva for tick, white tailed deer is adult"
anaplasma_phagocytophilum,gut,symptom,anaplasmosis
anaplasma_phagocytophilum,wright_giemsa_stain,testing,peripheral blood smear
anaplasma_phagocytophilum,flu-like,symptom,anaplasmosis
anaplasma_phagocytophilum,rash,NO RASH,
anaplasma_phagocytophilum,pancytopenia,symptom,
ehrlichia_chaffeensis,intracellular,obligate,"vacuoles of leukocytes, morulae ""mulberry"" inclusions"
ehrlichia_chaffeensis,tick,vector,lone star tick (amblyomma Americanum)
ehrlichia_chaffeensis,animal_contact,spread,white tailed deer only
ehrlichia_chaffeensis,flu-like,symptom,ehrlichiosis
ehrlichia_chaffeensis,gut,symptom,ehrlichiosis
ehrlichia_chaffeensis,rash,NO RASH,
ehrlichia_chaffeensis,pancytopenia,symptom,
ehrlichia_chaffeensis,monocyte,infects,
mycobacterium_tuberculosis,acid_fast,stains,mycloic acid in carbol-fuchsin stain
mycobacterium_tuberculosis,lowenstein-jensen_agar,testing,
mycobacterium_tuberculosis,oxygen_metabolism,obligate aerobe,
mycobacterium_tuberculosis,intracellular,obligate,
mycobacterium_tuberculosis,macrophage,infects,
mycobacterium_tuberculosis,cell_membrane,contains,"cord factor (trehalose dimycolic acid) forms cords when plated, PIM and LAM are other structures found in the mycobactera cell membrane. Cord factor is the main virulence factor."
mycobacterium_tuberculosis,inflammation,symptom,cord factor
mycobacterium_tuberculosis,granuloma,symptom,"cord factor, caseous, necrotic"
mycobacterium_tuberculosis,phagolysosome,affects,sulfatides inhibit phagosome-lysosome fusion
mycobacterium_tuberculosis,pneumonia,symptom,middle and lower parts of lung on CXR
mycobacterium_tuberculosis,heat_solubility,labile,
mycobacterium_tuberculosis,catalase,positive,
mycobacterium_tuberculosis,lymphadenopathy,symptom,"enlarged hilar lymph nodes and mediastinal lymph nodes, ghon complex"
mycobacterium_tuberculosis,lesion,symptom,lung cavitary lesions
mycobacterium_tuberculosis,calcification,symptom,"ghon complex, encapsulates bacteria within lung tissue"
mycobacterium_tuberculosis,asymptomatic,state,"latent tb, can be reactivated by TNF inhibitors and immunosupressants"
mycobacterium_tuberculosis,fibrosis,symptom,
mycobacterium_tuberculosis,ppd_skin_test,testing,"antibodies create indurations, diagnoses is based on height and several other risk factors. BCG vaccine causes false positives in pdd"
mycobacterium_tuberculosis,hematogenous,exacerbation,"miliary TB, potentially fatal"
